,Word,Count
286,casamigos,1
1831,snatcher,1
1832,soccer,1
285,casa,1
15,actress,1
1818,slows,1
1834,sociopath,1
1835,soho,1
1836,soil,1
1837,sold,1
284,cartwright,1
1839,soledad,1
1819,small,1
1811,sleeping,1
291,catch,1
1798,sixtymilliondollar,1
1796,sitting,1
1795,sittin,1
299,celebrity,1
1793,siri,1
2301,written,1
1792,sippin,1
300,cell,1
1790,sink,1
301,censor,1
302,centered,1
303,cero,1
2303,wrongs,1
1785,simplest,1
1784,simple,1
1783,silence,1
1797,sixties,1
298,celebratin,1
292,catcher,1
1800,skeletons,1
1814,slid,1
1813,slept,1
1812,sleeves,1
1843,somethings,1
1810,sleeper,1
2300,writing,1
294,cater,1
1808,slaughter,1
1807,slap,1
1806,skylar,1
1805,skoal,1
1804,skirt,1
1803,skip,1
1802,skinned,1
297,cavin,1
2297,wrapped,1
59,annoyin,1
281,carry,1
1845,sons,1
1901,states,1
1900,starts,1
248,burbs,1
249,burgundy,1
251,burned,1
22,advice,1
254,busiest,1
21,adversary,1
20,adventure,1
258,butterfly,1
259,buying,1
1890,stale,1
1889,staff,1
1888,stack,1
1887,stabbed,1
260,caca,1
261,cada,1
247,bung,1
246,b*******,1
1905,steal,1
1913,sticky,1
1921,stranded,1
1919,store,1
1918,stopped,1
241,buggin,1
242,build,1
1915,stomach,1
1914,stogey,1
1912,sticks,1
1906,stems,1
243,building,1
1910,sticker,1
24,afro,1
2286,working,1
244,built,1
1908,steppin,1
1907,step,1
1884,spread,1
1883,spotlight,1
2291,worship,1
274,capture,1
1861,spaghetti,1
271,cape,1
1859,souvenirs,1
272,capper,1
1857,south,1
2293,worth,1
1855,sour,1
275,carats,1
1863,spank,1
276,care,1
18,adore,1
1851,soulmates,1
279,caress,1
1848,sorrow,1
1847,sooner,1
280,carried,1
1862,spanglish,1
1864,spare,1
1881,spoon,1
1874,spilling,1
1880,spoiler,1
1879,spoiled,1
264,callin,1
1877,split,1
1876,spittin,1
19,advance,1
266,calls,1
1873,spilled,1
1865,spark,1
267,calm,1
1871,spending,1
1870,spend,1
268,calma,1
1868,speaking,1
1867,speakin,1
270,camera,1
17,adis,1
314,charges,1
2306,yale,1
4,able,1
1682,scare,1
1681,scar,1
1680,scale,1
1679,says,1
2321,york,1
1678,saying,1
372,code,1
1676,saving,1
1675,savin,1
376,comfortable,1
379,commentin,1
380,comments,1
381,common,1
1669,sand,1
5,abro,1
383,compete,1
1666,sale,1
1683,scared,1
2320,yolo,1
2319,yesterday,1
365,clink,1
355,class,1
356,classic,1
357,claw,1
359,cleaning,1
360,clear,1
363,clever,1
364,climate,1
1693,script,1
1685,scene,1
2318,yeshiva,1
1691,screen,1
369,clueless,1
1689,scratch,1
370,coach,1
1687,schedule,1
1686,scent,1
384,competition,1
1664,saftey,1
311,changin,1
3,ability,1
1645,romantic,1
1644,romancin,1
391,cons,1
1642,rolling,1
392,consumers,1
393,contact,1
2327,zaza,1
395,contest,1
396,contestar,1
1636,rodent,1
1635,rode,1
1634,rocky,1
397,context,1
2328,zirconies,1
1631,rock,1
1630,robyn,1
1629,roadside,1
1646,rooms,1
390,confirmar,1
2,abandoned,1
387,computers,1
385,compose,1
1662,sade,1
386,compromise,1
1660,sabotage,1
2325,younger,1
1659,runs,1
1658,running,1
388,concept,1
1648,roster,1
1655,rulay,1
1654,ruined,1
1653,rubs,1
1652,rubbish,1
1651,rubbed,1
1650,royce,1
389,confessin,1
1702,secondguess,1
1703,secret,1
354,clapper,1
1705,section,1
1760,shorts,1
1759,shores,1
1758,shore,1
1757,shop,1
323,cheddar,1
324,cheek,1
1754,shook,1
325,cheese,1
1752,shivererer,1
326,chef,1
1750,s*****,1
331,chillin,1
